1,1,0
1,2,1
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,1
1,9,0
1,10,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,1
2,7,0
2,8,0
2,9,0
2,10,0
3,1,0
3,2,1
3,3,1
3,4,0
3,5,0
3,6,2
3,7,2
3,8,1
3,9,1
3,10,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
5,1,0
5,2,2
5,3,0
5,4,0
5,5,0
5,6,0
5,7,1
5,8,0
5,9,1
5,10,2
6,1,0
6,2,0
6,3,0
6,4,1
6,5,0
6,6,2
6,7,0
6,8,0
6,9,0
6,10,0
7,1,0
7,2,1
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,2
7,9,0
7,10,0
8,1,2
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,1
8,8,0
8,9,0
8,10,0
9,1,0
9,2,0
9,3,1
9,4,1
9,5,0
9,6,0
9,7,2
9,8,0
9,9,0
9,10,1
10,1,up
10,2,1
10,3,0
10,4,0
10,5,1
10,6,2
10,7,0
10,8,0
10,9,0
10,10,0
